Entry Time,Expiry Time,Asset,Direction,Timeframe,Result,Stake,Payout %,P/L,Confidence,Provider
2026-04-24 06:41:00,2026-04-24 06:42:00,GBP/USD,SELL,M1,loss,50.00,0.82,-50.00,0.71,TelegramVIPSignals
2026-04-24 06:50:00,2026-04-24 06:51:00,BTC/USD,SELL,M1,win,5.00,0.68,3.40,0.61,QuantEdge Bot
2026-04-24 07:35:00,2026-04-24 07:40:00,GBP/JPY,SELL,M5,win,10.00,0.79,7.90,0.85,Manual — own analysis
2026-04-24 09:13:00,2026-04-24 09:18:00,EUR/USD,BUY,M5,win,10.00,0.82,8.20,0.63,TelegramVIPSignals
2026-04-24 10:32:00,2026-04-24 10:47:00,USD/JPY,BUY,M15,loss,25.00,0.83,-25.00,0.58,AlphaPips Room
2026-04-24 10:59:00,2026-04-24 11:04:00,EUR/USD,SELL,M5,win,50.00,0.80,40.00,0.61,QuantEdge Bot
2026-04-24 11:39:00,2026-04-24 11:40:00,GBP/USD,SELL,M1,loss,5.00,0.82,-5.00,0.67,AlphaPips Room
2026-04-24 12:14:00,2026-04-24 12:29:00,GBP/USD,BUY,M15,loss,10.00,0.77,-10.00,0.65,QuantEdge Bot
2026-04-24 12:52:00,2026-04-24 12:55:00,AUD/USD,SELL,M3,win,20.00,0.81,16.20,0.85,AlphaPips Room
2026-04-24 15:51:00,2026-04-24 15:56:00,XAU/USD,SELL,M5,draw,5.00,0.75,0.00,0.62,Manual — own analysis
2026-04-24 19:03:00,2026-04-24 19:18:00,USD/CAD,SELL,M15,loss,10.00,0.82,-10.00,0.93,Manual — own analysis
2026-04-24 19:57:00,2026-04-24 20:00:00,EUR/USD OTC,SELL,M3,loss,50.00,0.84,-50.00,0.71,AlphaPips Room
2026-05-02 10:15:00,,NOTANASSET,SIDEWAYS,M5,win,10.00,0.80,8.00,0.71,AlphaPips Room
2026-04-25 18:58:00,2026-04-25 19:01:00,XAU/USD,SELL,M3,win,5.00,0.77,3.85,0.67,Manual — own analysis
2026-04-26 12:19:00,2026-04-26 12:24:00,EUR/USD,BUY,M5,win,20.00,0.80,16.00,0.81,Manual — own analysis
2026-04-26 17:53:00,2026-04-26 18:53:00,GBP/USD OTC,BUY,H1,loss,20.00,0.86,-20.00,0.76,Daily Binary Club
2026-04-26 19:25:00,2026-04-26 19:30:00,EUR/JPY,BUY,M5,loss,5.00,0.78,-5.00,0.72,Daily Binary Club
2026-04-27 06:42:00,2026-04-27 06:43:00,EUR/USD OTC,BUY,M1,win,20.00,0.87,17.40,0.68,AlphaPips Room
2026-04-27 09:49:00,2026-04-27 09:52:00,GBP/JPY,SELL,M3,loss,5.00,0.76,-5.00,0.76,Daily Binary Club
2026-04-27 10:49:00,2026-04-27 11:04:00,EUR/USD OTC,SELL,M15,loss,25.00,0.86,-25.00,0.93,Manual — own analysis
2026-04-27 12:24:00,2026-04-27 12:29:00,GBP/USD OTC,BUY,M5,loss,10.00,0.82,-10.00,0.70,AlphaPips Room
2026-04-27 12:38:00,2026-04-27 12:41:00,XAU/USD,SELL,M3,win,10.00,0.73,7.30,0.58,QuantEdge Bot
2026-04-27 13:44:00,2026-04-27 13:49:00,EUR/JPY,SELL,M5,win,25.00,0.79,19.75,0.88,AlphaPips Room
2026-04-27 14:46:00,2026-04-27 14:51:00,EUR/USD OTC,SELL,M5,win,50.00,0.84,42.00,0.84,Daily Binary Club
2026-04-27 16:45:00,2026-04-27 16:48:00,EUR/USD,BUY,M3,loss,10.00,0.81,-10.00,0.90,Daily Binary Club
2026-04-27 17:01:00,2026-04-27 17:06:00,USD/CAD,SELL,M5,win,10.00,0.81,8.10,0.59,Daily Binary Club
2026-04-27 17:07:00,2026-04-27 17:22:00,EUR/USD,SELL,M15,loss,20.00,0.83,-20.00,0.74,Manual — own analysis
2026-04-27 18:27:00,2026-04-27 18:30:00,EUR/USD,BUY,M3,loss,25.00,0.81,-25.00,0.83,AlphaPips Room
2026-04-28 07:38:00,2026-04-28 07:43:00,AUD/USD,BUY,M5,win,25.00,0.79,19.75,0.75,TelegramVIPSignals
2026-04-28 14:52:00,2026-04-28 14:53:00,GBP/USD OTC,SELL,M1,win,5.00,0.86,4.30,0.63,Daily Binary Club
