timestamp,channel,author,message
2026-06-29 22:24:14,signals-general,marcus_fx,"right, clean breakout on GBP/USD, buying this one chart's in the other channel."
2026-06-29 22:38:40,signals-general,sarah_k,"back at the desk. red across the board, GBP/USD OTC dumping 📉 could be a fakeout, watching."
2026-06-30 05:19:49,vip-room,quiet_quant,"back at the desk. USD/JPY looking strong above support, taking a call on the M5 same setup as yesterday."
2026-06-30 06:04:50,vip-room,marcus_fx,"right, GBP/USD OTC holding the trendline nicely, call on M5 expiry will post the result after."
2026-06-30 06:52:06,vip-room,marcus_fx,"honestly USD/JPY bounced off the demand zone — bullish for me might be wrong on this one."
2026-06-30 06:55:14,signals-general,dana_r,"how do you handle EUR/USD OTC during rollover? will post the result after."
2026-06-30 06:55:51,eurusd-desk,elena.trades,"not sure but green candles stacking on GBP/USD OTC, momentum is up 📈"
2026-06-30 07:12:54,signals-general,NightOwlFX,"fwiw EUR/JPY looking strong above support, taking a call on the M15 thoughts?"
2026-06-30 10:55:41,eurusd-desk,marcus_fx,"quick one — breakdown below support on EUR/USD OTC, going short thoughts?"
2026-06-30 11:53:46,eurusd-desk,dana_r,"honestly green candles stacking on GBP/USD, momentum is up 📈"
2026-06-30 11:56:00,vip-room,sarah_k,"ok so that was a clean win on GBP/JPY, +8.14 🚀 let's see how it plays out."
2026-06-30 12:21:32,eurusd-desk,PipHunter,"back at the desk. green candles stacking on USD/JPY, momentum is up 📈 could be a fakeout, watching."
2026-06-30 12:26:36,vip-room,dana_r,"right, took a loss on GBP/USD, -13.66. bad entry on my part third time this week."
2026-06-30 14:23:35,signals-general,sarah_k,"back at the desk. GBP/USD looks weak here, sell sticking to my plan."
2026-06-30 14:26:08,eurusd-desk,mo_analytics,"hmm rsi oversold on USD/JPY, expecting a reversal up small size though."
2026-06-30 14:26:22,signals-general,PipHunter,"EUR/USD rejected at resistance, putting on the H1 will post the result after."
2026-06-30 14:35:04,vip-room,tomas,"right, green candles stacking on GBP/USD, momentum is up 📈"
2026-06-30 14:43:05,vip-room,elena.trades,"death cross on EUR/USD, bearish for the session"
2026-06-30 15:15:10,signals-general,sarah_k,"after that last one, USD/JPY looking strong above support, taking a call on the M3 chart's in the other channel."
2026-06-30 17:16:58,vip-room,dana_r,"after that last one, GBP/USD bounced off the demand zone — bullish for me third time this week."
2026-06-30 18:05:24,eurusd-desk,elena.trades,"morning all, breakdown below support on EUR/JPY, going short"
2026-06-30 18:26:59,eurusd-desk,elena.trades,"not sure but took a loss on GBP/USD, -49.08. bad entry on my part let's see how it plays out."
2026-06-30 20:08:52,signals-general,dana_r,"right, EUR/USD looking strong above support, taking a call on the M3 will post the result after."
2026-06-30 20:33:45,vip-room,PipHunter,"hmm golden cross forming on EUR/USD 4h, long bias might be wrong on this one."
2026-06-30 20:34:12,vip-room,sarah_k,"morning all, how do you handle GBP/JPY during rollover? could be a fakeout, watching."
2026-06-30 20:37:51,signals-general,promo_bot,"DM me and I can manage your account, guaranteed profit no loss"
2026-06-30 22:17:29,vip-room,tomas,"green candles stacking on GBP/USD, momentum is up 📈 not touching it until the close."
2026-06-30 22:55:12,eurusd-desk,elena.trades,"waiting for the news at 13:30 before touching GBP/JPY"
2026-07-01 05:54:04,eurusd-desk,signals_vip_x,"join my vip signal channel, risk-free trading, inbox me now"
2026-07-01 06:28:08,vip-room,sarah_k,"fwiw how do you handle GBP/JPY during rollover?"
2026-07-01 07:04:19,signals-general,NightOwlFX,"ok so EUR/USD bounced off the demand zone — bullish for me chart's in the other channel."
2026-07-01 08:22:16,signals-general,NightOwlFX,"hmm USD/JPY looking strong above support, taking a call on the M1 same setup as yesterday."
2026-07-01 11:15:31,vip-room,mo_analytics,"right, BTC/USD downtrend intact, not buying this dip not touching it until the close."
2026-07-01 13:52:47,vip-room,elena.trades,"morning all, green candles stacking on EUR/USD OTC, momentum is up 📈 anyone agree?"
2026-07-01 14:29:42,vip-room,tomas,"EUR/USD bounced off the demand zone — bullish for me let's see how it plays out."
2026-07-01 16:19:34,signals-general,quiet_quant,"right, green candles stacking on BTC/USD, momentum is up 📈 anyone agree?"
2026-07-01 16:33:21,signals-general,dana_r,"morning all, breakdown below support on AUD/USD, going short chart's in the other channel."
2026-07-01 19:13:31,signals-general,tomas,"fwiw does anyone have data on AUD/USD otc payouts? thoughts?"
2026-07-01 19:18:18,eurusd-desk,signals_vip_x,"💰💰💰💰💰💰💰💰"
2026-07-01 19:36:42,vip-room,kenji,"back at the desk. took a loss on EUR/USD OTC, -36.59. bad entry on my part same setup as yesterday."
2026-07-01 19:59:59,vip-room,NightOwlFX,"just checked and BTC/USD holding the trendline nicely, call on M5 expiry thoughts?"
2026-07-01 21:50:06,eurusd-desk,NightOwlFX,"ok so death cross on EUR/JPY, bearish for the session might be wrong on this one."
2026-07-01 22:31:09,signals-general,quiet_quant,"fwiw golden cross forming on EUR/USD 4h, long bias could be a fakeout, watching."
2026-07-02 05:36:57,signals-general,dana_r,"right, EUR/USD bounced off the demand zone — bullish for me"
2026-07-02 06:44:31,eurusd-desk,PipHunter,"honestly waiting for the news at 13:30 before touching BTC/USD same setup as yesterday."
2026-07-02 07:08:17,vip-room,PipHunter,"back at the desk. how do you handle USD/JPY during rollover? small size though."
2026-07-02 07:59:29,signals-general,elena.trades,"looking at the 15m and green candles stacking on GBP/USD OTC, momentum is up 📈 could be a fakeout, watching."
2026-07-02 08:30:12,vip-room,kenji,"just checked and BTC/USD bounced off the demand zone — bullish for me same setup as yesterday."
2026-07-02 09:07:13,signals-general,NightOwlFX,"rsi oversold on GBP/USD, expecting a reversal up"
2026-07-02 09:47:04,eurusd-desk,marcus_fx,"quick one — red across the board, EUR/JPY dumping 📉 will post the result after."
2026-07-02 12:26:42,signals-general,elena.trades,"EUR/JPY looking strong above support, taking a call on the M15 chart's in the other channel."
2026-07-02 12:28:49,eurusd-desk,PipHunter,"not sure but red across the board, XAU/USD dumping 📉 thoughts?"
2026-07-02 13:34:20,signals-general,mo_analytics,"green candles stacking on AUD/USD, momentum is up 📈"
2026-07-02 14:23:40,vip-room,PipHunter,"clean breakout on USD/JPY, buying this one could be a fakeout, watching."
2026-07-02 16:27:35,signals-general,dana_r,"ok so took a loss on AUD/USD, -42.27. bad entry on my part will post the result after."
2026-07-02 17:06:01,eurusd-desk,mo_analytics,"not sure but how do you handle GBP/USD during rollover? sticking to my plan."
2026-07-02 17:33:13,signals-general,promo_bot,"sign up bonus with my link — double your money in a week, use promo code WIN2X"
2026-07-02 18:12:33,vip-room,marcus_fx,"back at the desk. USD/JPY downtrend intact, not buying this dip thoughts?"
2026-07-02 18:25:28,vip-room,marcus_fx,"looking at the 15m and breakdown below support on EUR/USD, going short anyone agree?"
2026-07-02 19:13:46,vip-room,PipHunter,"not sure but green candles stacking on GBP/USD OTC, momentum is up 📈 anyone agree?"
2026-07-03 06:20:34,signals-general,dana_r,"quick one — GBP/JPY holding the trendline nicely, call on M1 expiry"
2026-07-03 07:24:42,signals-general,quiet_quant,"not sure but clean breakout on USD/JPY, buying this one chart's in the other channel."
2026-07-03 07:58:57,eurusd-desk,mo_analytics,"quick one — GBP/JPY rejected at resistance, putting on the H1 chart's in the other channel."
2026-07-03 08:57:58,eurusd-desk,kenji,"after that last one, rsi oversold on BTC/USD, expecting a reversal up could be a fakeout, watching."
2026-07-03 09:19:41,signals-general,dana_r,"not sure but took a loss on EUR/USD OTC, -28.02. bad entry on my part could be a fakeout, watching."
2026-07-03 09:41:06,eurusd-desk,signals_vip_x,"join my vip signal channel, risk-free trading, inbox me now"
2026-07-03 10:03:36,signals-general,dana_r,"back at the desk. EUR/JPY ranging, sitting this one out"
2026-07-03 11:12:14,vip-room,tomas,"hmm took a loss on EUR/JPY, -58.89. bad entry on my part small size though."
2026-07-03 12:00:02,eurusd-desk,quiet_quant,"right, USD/CAD looks weak here, sell thoughts?"
2026-07-03 12:21:07,signals-general,dana_r,"overbought rsi on GBP/USD OTC, expecting a drop"
2026-07-03 12:26:22,vip-room,marcus_fx,"back at the desk. red across the board, XAU/USD dumping 📉 will post the result after."
2026-07-03 12:35:53,signals-general,marcus_fx,"not sure but BTC/USD rejected at resistance, putting on the M3 might be wrong on this one."
2026-07-03 13:07:29,vip-room,elena.trades,"just checked and clean breakout on GBP/USD, buying this one anyone agree?"
2026-07-03 14:16:47,vip-room,promo_bot,"sign up bonus with my link — double your money in a week, use promo code WIN2X"
2026-07-03 15:00:52,signals-general,dana_r,"right, USD/CAD bounced off the demand zone — bullish for me could be a fakeout, watching."
2026-07-03 17:27:59,signals-general,mo_analytics,"ok so clean breakout on AUD/USD, buying this one chart's in the other channel."
2026-07-03 20:20:53,eurusd-desk,dana_r,"back at the desk. GBP/USD looking strong above support, taking a call on the M15"
2026-07-03 21:16:27,vip-room,NightOwlFX,"looking at the 15m and green candles stacking on EUR/JPY, momentum is up 📈 anyone agree?"
2026-07-03 21:34:35,signals-general,mo_analytics,"ok so USD/CAD looks weak here, sell same setup as yesterday."
2026-07-03 22:43:06,eurusd-desk,marcus_fx,"after that last one, EUR/USD OTC bounced off the demand zone — bullish for me third time this week."
2026-07-04 08:37:30,eurusd-desk,elena.trades,"ok so golden cross forming on EUR/USD OTC 4h, long bias not touching it until the close."
2026-07-04 10:05:49,signals-general,quiet_quant,"looking at the 15m and EUR/USD OTC looks weak here, sell same setup as yesterday."
2026-07-04 15:49:18,signals-general,NightOwlFX,"after that last one, breakdown below support on AUD/USD, going short will post the result after."
2026-07-04 17:40:06,vip-room,sarah_k,"just checked and EUR/JPY looking strong above support, taking a call on the M30 small size though."
2026-07-05 06:47:22,vip-room,elena.trades,"right, golden cross forming on EUR/USD 4h, long bias not touching it until the close."
2026-07-05 11:02:52,eurusd-desk,kenji,"honestly golden cross forming on USD/JPY 4h, long bias sticking to my plan."
2026-07-05 14:48:49,vip-room,dana_r,"waiting for the news at 13:30 before touching GBP/USD"
2026-07-05 17:38:59,signals-general,NightOwlFX,"not sure but rsi oversold on EUR/USD, expecting a reversal up sticking to my plan."
2026-07-06 05:27:41,signals-general,mo_analytics,"golden cross forming on EUR/USD OTC 4h, long bias third time this week."
2026-07-06 05:55:51,vip-room,quiet_quant,"quick one — sideways chop on AUD/USD, no clean setup small size though."
2026-07-06 07:03:57,vip-room,NightOwlFX,"fwiw that was a clean win on GBP/JPY, +18.67 🚀 let's see how it plays out."
2026-07-06 07:39:34,eurusd-desk,PipHunter,"hmm green candles stacking on EUR/JPY, momentum is up 📈 chart's in the other channel."
2026-07-06 10:48:06,vip-room,PipHunter,"rsi oversold on AUD/USD, expecting a reversal up small size though."
2026-07-06 11:01:31,vip-room,dana_r,"waiting for the news at 13:30 before touching GBP/JPY thoughts?"
2026-07-06 11:40:44,vip-room,tomas,"just checked and XAU/USD looks weak here, sell might be wrong on this one."
2026-07-06 21:18:25,eurusd-desk,NightOwlFX,"ok so clean breakout on AUD/USD, buying this one might be wrong on this one."
2026-07-06 22:02:23,eurusd-desk,mo_analytics,"looking at the 15m and XAU/USD downtrend intact, not buying this dip might be wrong on this one."
2026-07-06 22:35:27,vip-room,kenji,"EUR/JPY looks weak here, sell same setup as yesterday."
2026-07-07 06:01:29,signals-general,dana_r,"USD/JPY downtrend intact, not buying this dip sticking to my plan."
2026-07-07 06:21:25,vip-room,mo_analytics,"fwiw that was a clean win on EUR/USD, +55.95 🚀 let's see how it plays out."
